;name;address;e-mail;site;telephone;e_mail
0;La Dame Jeanne;"1 Place Des Heros Au pied du beffroi ;-), 62000, Arras France";;https://www.facebook.com/ladamejeannearras/?hc_ref=ARSW9baK2j0PU6tF5K7XMclTl7DYIycu5C56jEtVCMp7ji-aWFlSY_N3LMK4yy3akHU;tel:+33 3 61 11 10 83;mailto:contact@la-damejeanne.fr?subject=?
1;L’Oeuf ou la Poule;13 rue des Balances, 62000, Arras France;;https://www.facebook.com/loeufoulapoule.arras/;tel:+33 3 21 24 69 81;
2;Mezzaluna;10 rue Leon Gambetta, 62000, Arras France;;http://www.facebook.com/mezzalunaarras;tel:+33 3 21 22 89 63;mailto:mezzaluna.arras@gmail.com?subject=?
3;L'Epicurien;8 Place du Marechal Foch, 62000, Arras France;;https://www.facebook.com/epicurien.arras/;tel:+33 3 21 23 53 67;mailto:contact@restaurant-epicurien.eu?subject=?
4;Le Peche Gourmand;142 rue de Cambrai, 62000, Arras France;;http://www.restaurant-lepechegourmand.com/;tel:+33 6 88 55 02 40;mailto:restaurantlepechegourmand@gmail.com?subject=?
5;P'tit Demon;9 Place des Heros, 62000, Arras France;;https://www.facebook.com/Ptit-demon-1646145429008117/?fref=ts;tel:+33 3 21 07 96 06;
6;Couleur des Champs;10 rue des Balances, 62000, Arras France;;http://www.facebook.com/couleurdeschamps;tel:+33 3 21 71 94 69;mailto:couleurdeschamps@free.fr?subject=?
7;O Ptit Paradis;39 rue Saint Aubert, 62000, Arras France;;http://www.facebook.com/Optitparadis;tel:+33 3 21 21 08 08;mailto:Sarah.leroux.arras@orange.fr?subject=?
8;L'Entre Nous;43 Grand place, 62000, Arras France;;;tel:+33 3 91 19 68 55;
9;Yummy's Restaurant;6 Place du Marechal Foch Face à la gare, 62000, Arras France;;http://www.facebook.com/yummysrestaurantarras;tel:+33 3 21 23 52 28;mailto:contact@yummysrestaurant.fr?subject=?
10;Le Carpe Diem;8 B rue des Petits Vieziers, 62000, Arras France;;http://www.lecarpediemrestaurant.fr/;tel:+33 3 21 51 70 08;
11;Le Cap Horn;12 Place des Heros, 62000, Arras France;;https://www.facebook.com/pg/LeCapHornArras/about/?ref=page_internal;tel:+33 3 21 71 54 98;
12;Le Venezia;17 rue aux Ours, 62000, Arras France;;http://levenezia-arras.com;tel:+33 3 21 24 25 95;mailto:contactven@orange.com?subject=?
13;Leon De Bruxelles;4 rue de la Symphorine ZAC des Bonnettes, 62000, Arras France;;http://restaurants.leon-de-bruxelles.fr/fr/s/moules-frites/arras/59001;tel:+33 3 21 50 46 52;mailto:serviceclients@leon-de-bruxelles.fr?subject=?
14;Chez Marcel;30 rue de la Taillerie, 62000, Arras France;;http://chez-marcel-arras.metro.bar;tel:+33 9 87 07 37 29;mailto:chezmarcel.arras@gmail.com?subject=?
15;Le Bouchot;3 rue Chanzy, 62000, Arras France;;http://www.lebouchot-arras.fr;tel:+33 3 21 51 67 51;
16;Le Palais d'Asie;40 rue de Cambrai, 62000, Arras France;;http://www.le-palais-dasie.fr/;tel:+33 3 21 59 93 91;
17;Le Petit Rat Porteur;11 rue de la Taillerie, 62000, Arras France;;http://www.lepetitratporteur.fr;tel:+33 3 21 51 29 70;
18;L'Assiette au Boeuf;56 Grand place, 62000, Arras France;;http://www.assietteauboeuf.fr/arras;tel:+33 3 21 15 11 51;
19;Le Foucrêpe's;38 Place des Heros, 62000, Arras France;;http://www.lefoucrepes.fr;tel:+33 3 21 59 95 66;mailto:lefoucrepes@gmail.com?subject=?
20;Amarine Arras;60 Place des Heros, 62000, Arras France;;http://www.amarine.fr/restaurant-arras-poissons-fruits-mer.aspx#ad-image-0;tel:+33 3 21 51 00 50;
21;Viviani;5 rue de la Housse, 62000, Arras France;;https://www.facebook.com/Le-Viviani-%C3%A0-Arras-613661755360017/;tel:+33 3 21 51 36 92;
22;Le Domaine de Chavagnac;26 Place de la Vacquerie, 62000, Arras France;;http://www.ledomainedechavagnac.fr/;tel:+33 3 21 23 09 39;
23;Rdv;39 boulevard Carnot, 62000, Arras France;;https://www.facebook.com/RendezVousArras/;tel:+33 3 21 73 38 81;mailto:rdv.arras@yahoo.fr?subject=?
24;Le Montesilvano;55 Grand place, 62000, Arras France;;http://www.facebook.com/montesilvanoarras;tel:+33 3 21 22 08 30;
25;Anagram Restaurant;23 Grand place, 62000, Arras France;;http://anagram-resto.fr/;tel:+33 3 91 19 00 98;mailto:resa@anagram-resto.fr?subject=?
26;Le Vidocq;24 rue des Trois Visages, 62000, Arras France;;http://www.levidocq.fr;tel:+33 3 21 23 79 50;mailto:hcarpentier62@hotmail.fr?subject=?
27;Le Dragon d'Or;2 Square Leon Jouhaux, 62000, Arras France;;http://dragondor-arras.com;tel:+33 3 21 59 24 87;
28;La Coupole d'Arras;26 boulevard de Strasbourg, 62000, Arras France;;http://www.lacoupole-arras.fr/restaurant;tel:+33 3 21 15 11 72;mailto:lacoupole.arras62@gmail.com?subject=?
29;Bella Pizza;70 rue des Hochettes, 62000, Arras France;;;tel:+33 9 83 31 53 86;
30;La Faisanderie;45 Grand place, 62000, Arras France;;http://www.restaurant-la-faisanderie.com;tel:+33 3 21 48 20 76;mailto:la-faisanderie@wanadoo.fr?subject=?
31;LE PETIT THEATRE;7 rue des Petits Vieziers, 62000, Arras France;;http://www.lepetittheatre.fr/;tel:+33 3 21 51 10 85;
32;Le Nagoya;84 rue Saint Aubert, 62000, Arras France;;http://www.nagoya62.fr;tel:+33 3 21 15 18 18;
33;Canadian Poutine;8 rue de la Housse, 62000, Arras France;;http://facebook.com/Canadian-poutine-1314818435261086/;tel:+33 7 83 91 09 27;
34;La Terrasse Des Capucins;11 rue des Capucins, 62000, Arras France;;http://www.facebook.com/laterrassedescapucins/;tel:+33 3 21 60 12 17;mailto:laterrassedescapucins@orange.fr?subject=?
35;Le Vertigo;12 rue de la Taillerie De La Taillerie, 62000, Arras France;;http://www.levertigo-arras.com/;tel:+33 3 21 23 18 00;mailto:levertigoarras@gmail.com?subject=?
36;La Signature;Petite Rue Des Rapporteurs, 62000, Arras France;;https://www.facebook.com/RestaurantLaSignatureArras/;tel:+33 3 91 20 99 48;mailto:la-signature@orange.fr?subject=?
37;La Karett' à Pinard;11 rue des Balances, 62000, Arras France;;http://m.me/lakarettapinard;tel:+33 3 61 47 63 99;mailto:lakarettapinard@gmail.com?subject=?
38;La Taverne des Gaulois;14 rue du General de Gaulle, 62223 Saint-Laurent-Blangy, Arras France;;http://www.latavernedesgaulois.fr;tel:+33 3 21 73 69 83;
39;Au Bureau;36 Place des Heros, 62000, Arras France;;https://www.aubureau.fr/resto/Au-Bureau-Arras;tel:+33 3 21 23 79 44;mailto:pubaubureauarras@orange.fr?subject=?
40;Le Troisième Lieu;18 rue de la Taillerie, 62000, Arras France;;https://www.facebook.com/letroisiemelieu.arras/?hc_ref=ARROl06aS6ZfMS7VZSTsmwHmFQ_P6-PHuc9_A3bchcMhpfcg2dKF2EH1VMiiexHwHGU;tel:+33 3 21 51 37 57;mailto:letroisiemelieu.arras@gmail.com?subject=?
41;Le Comptoir;15 rue de la Taillerie, 62000, Arras France;;http://www.lecomptoir-arras.com/;tel:+33 3 21 71 93 44;
42;The French House;46 Grand place, 62000, Arras France;;http://www.thefrenchhouse-arras.fr;tel:+33 3 21 55 09 92;
43;La Cave des Saveurs;36 Grand place, 62000, Arras France;;http://www.lacavedessaveurs.fr/;tel:+33 3 21 59 75 24;
44;La Marquise;10 rue des Petits Vieziers Proche du théatre, 62000, Arras France;;http://www.lamarquisearras.fr;tel:+33 3 21 07 32 06;mailto:lamarquisearras@gmail.com?subject=?
45;La Pataterie;27 boulevard Robert Schuman Zac Arras Val de Scarpe, 62000, Arras France;;http://www.lapataterie.fr/;tel:+33 3 21 07 85 04;mailto:restaurant@lapataterie-arras.com?subject=?
46;La Passe pierre;17 Place des Heros, 62000, Arras France;;https://la-passe-pierre.business.site/?utm_source=gmb&utm_medium=referral;tel:+33 3 21 23 20 38;
47;Before and After;21 Grand place, 62000, Arras France;;http://www.facebook.com/Before-and-After-408965955971208;tel:+33 3 21 55 72 35;
48;Chez Léonie;5 rue des Dominicains, 62000, Arras France;;http://www.facebook.com/resto.leonie/?ref=settings;tel:+33 6 68 86 10 85;
49;Le Bateau du Ch'ti;17 Place des Heros, 62000, Arras France;;http://fr-fr.facebook.com/pages/Le-bateau-du-chti/138558152870193;tel:+33 3 21 23 20 38;
50;les jardins de saint laurent;1 Rue Laurent Gers 62223 saint laurent blangy, 62223, Arras France;;http://www.jardins-de-saint-laurent.com/;tel:+33 3 21 50 81 00;mailto:les-jardins-de-st-laurent@wanadoo.fr?subject=?
51;Le Saint Germain;14 Grand place, 62000, Arras France;;;tel:+33 3 21 51 45 45;
52;Le Carthage;46 rue Desire Delansorne, 62000, Arras France;;http://www.restaurantlecarthage-arras.fr;tel:+33 3 21 15 72 39;
53;Le Passe Temps;1 Place du Marechal Foch, 62000, Arras France;;http://www.hotelrestaurantlepassetemps.com/;tel:+33 3 21 50 04 04;
54;L'Artisan Gourmand;10 rue Briquet Taillandier, 62000, Arras France;;;tel:+33 3 21 51 53 91;
55;Restaurant Tomate Cerise;Route de St-Pol Promenade De L Artois - Parc Des Bonnettes, 62000, Arras France;;http://www.tomate-cerise.com/;tel:+33 3 21 07 10 15;mailto:relationclient@tomate-cerise.com?subject=?
56;Le Palerme;50 Grand place, 62000, Arras France;;http://www.lepalerme.fr/;tel:+33 3 21 58 53 84;mailto:Lepalerme.arras@hotmail.fr?subject=?
57;L'Elysee;34 boulevard de Strasbourg, 62000, Arras France;;http://www.brasseriedelelysee.fr/;tel:+33 3 21 51 75 62;mailto:lupacana@orange.fr?subject=?
58;Beers and Co;10 Rue de la Briqueterie, 62161, Arras France;;https://www.facebook.com/beers.and.co.arras/;tel:+33 3 21 51 09 16;
59;O 58;58 boulevard Carnot, 62000, Arras France;;http://restaurants.accorhotels.com/fr/restaurant-1560_R001-o-58-arras.shtml;tel:+33 3 21 23 88 88;mailto:h1560@accor.com?subject=?
60;Le Rat perché;6 rue des Jongleurs, 62000, Arras France;;http://www.facebook.com/leratperche/;tel:+33 9 86 61 17 13;mailto:leratperche@gmail.com?subject=?
61;Aux Brasseurs Gourmands;Galerie Auchan, Zone Activitees des Bonnettes 225 AV Winston Churchill, Arras France;;;tel:+33 3 21 15 49 31;
62;Sikbeh Arras;5 rue des Dominicains Pres DE LA Grand Place, 62000, Arras France;;;tel:+33 7 82 88 89 61;
63;L'orient-Espace;5 rue Meaulens, 62000, Arras France;;http://www.orient-espace.com/;tel:+33 3 21 58 01 75;
64;Duployez Christian;5 rue Desire Delansorne, 62000, Arras France;;;tel:+33 3 21 51 77 18;
65;Zen;64 B rue Leon Gambetta, 62000, Arras France;;http://zenarras.fr/;tel:+33 3 21 15 41 29;mailto:zenarras@gmail.com?subject=?
66;Le Clusius;3 Place de la Croix Rouge Najeti Hotel de l'Univers, 62000, Arras France;;http://www.clusius.najeti.fr;tel:+33 3 21 71 34 01;
67;L'Isola Sarda;1 Rue Philibert Cleret Agny, 62217, Arras France;;http://www.isolasarda.fr;tel:+33 3 21 16 98 65;
68;Blackpepper;6 rue des Jongleurs Proche de la Place du Theatre, 62000, Arras France;;http://www.facebook.com/pages/Black-Pepper-bar-brasserie-place-du-th%C3%A9%C3%A2tre-Arras/1795909867301804;tel:+33 3 21 71 88 67;
69;La P'tite Havane;2 Grand place, 62000, Arras France;;https://www.facebook.com/laptitehavane;tel:+33 3 21 23 57 73;
70;Fresh Burritos;3 Place des Heros, 62000, Arras France;;http://www.freshburritos.fr;tel:+33 3 21 60 75 53;
71;Meal Saveurs;6 rue Baudimont, 62000, Arras France;;http://mealsaveurs.eatbu.com;tel:+33 6 60 54 55 01;mailto:sasmealsaveurs@gmail.com?subject=?
72;Patisserie Thibaut;50 Place des Heros, 62000, Arras France;;https://www.facebook.com/PatisserieThibaut/?ref=page_internal;tel:+33 3 21 71 53 20;
73;La Cave du Yeti;12 rue de la Taillerie, 62000, Arras France;;https://www.facebook.com/www.lacaveduyeti.fr/info/?tab=page_info;tel:+33 3 21 15 97 64;mailto:lelong.pierre@hotmail.fr?subject=?
74;Caesar;36 boulevard de Strasbourg, 62000, Arras France;;;tel:+33 9 54 42 00 12;mailto:csbarras@gmail.com?subject=?
75;La Comédie;14 Place du Theatre, 62000, Arras France;;http://www.facebook.com/lacomediearras;tel:+33 3 61 47 41 01;mailto:lacomediearras@sfr.fr?subject=?
76;Baobab;14 rue Paul Doumer, 62000, Arras France;;https://www.facebook.com/Baobab-kf%C3%A9-242120712491544/;tel:+33 3 21 23 13 51;
77;Glanworth;6 rue de la Taillerie, 62000, Arras France;;https://www.facebook.com/glanwortharras/;tel:+33 3 21 24 73 55;mailto:contact@glanworth-arras.com?subject=?
78;Pizza Club;1 rue Baudimont, 62000, Arras France;;http://www.pizza-club.fr;tel:+33 3 21 51 23 00;mailto:apgdiner@gmail.com?subject=?
79;SO DRIPS;43 boulevard Carnot, 62000, Arras France;;https://www.facebook.com/SO-DRIPS-1156774951190576/;tel:+33 9 86 49 22 92;
80;La Grignotte;21 rue Meaulens, 62000, Arras France;;;tel:+33 3 21 55 63 51;
81;V and B Arras;3 T rue Copernic, 62000, Arras France;;https://www.facebook.com/vandbarras/;tel:+33 3 21 24 92 12;mailto:arras@vandb.fr?subject=?
82;L'Annexe;2 rue Baudimont, 62000, Arras France;;;tel:+33 6 51 77 50 20;mailto:danimicael@gmail.com?subject=?
83;Le Comptoir de Marrakech;14 rue Saint Aubert, 62000, Arras France;;http://www.lecomptoirdemarrakech.fr;tel:+33 3 21 71 14 00;
84;La Fringale Saint Aubert;118 rue Saint Aubert, 62000, Arras France;;;tel:+33 3 21 16 93 01;
85;Les Trois Futs;72 Place des Heros, 62000, Arras France;;;tel:+33 3 21 71 44 19;
86;Au Quarante Trois;43 Grand place, 62000, Arras France;;http://auquarantetrois.wixsite.com/43restaurant;tel:+33 3 91 19 68 55;mailto:auquarantetrois@gmail.com?subject=?
87;Bee Happy;36 rue Bocquet Flochel, 62000, Arras France;;https://www.facebook.com/Bee-Happy-392048207656028;;
88;Auberge de l'Arragnat;rue du Val d'Azun, 65400, Arras France;;http://auberge.arragnat.pagesperso-orange.fr/;tel:+33 5 62 97 14 23;mailto:aubergearragnat@wanadoo.fr?subject=?
89;Arkadium;43 Rue Desire Delansorne, 62000, Arras France;;http://arkadium-bar.fr/;;
